"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL5";"NALIDIXIC ACID";"4";"232.24";"0";"1.42";"SAM002554914";"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 42.4 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513141";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4526291";"";"0";"476.50";"1";"-0.64";"SAM002564200";"Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1.[Na+]";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 15.3 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513141";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4515524";"";"0";"853.77";"1";"3.63";"AIK-30/36";"COc1ccc(/C=C/c2ccc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCN5CCC(O)CC5)n(C)c4)n(C)c3)cn2)cc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 20.0 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513139";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4574320";"";"0";"671.96";"2";"6.04";"11";"CCN/C(=N\CCCN(C)C)OC(=O)/C(CCC=C(C)C)=C1/C2C[C@@H](O)C3[C@@]4(C)CC[C@@H](O)[C@@H](C)C4CC[C@]3(C)[C@@]2(C)C[C@@H]1OC(C)=O";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 44.5 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513152";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4296951";"";"0";"212.30";"0";"2.36";"0122987:01";"C1C2CC3C1C3/C2=N\N=C1/C2CC3C(C2)C13";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 20.6 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4296182";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL1498987";"";"0";"307.31";"0";"1.91";"MMV676395";"O=C(Nc1cccnc1)c1c(O)c2cccc3c2n(c1=O)CC3";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 26.1 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513149";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4561309";"";"0";"723.05";"2";"8.74";"9";"CC(=O)O[C@H]1C[C@@]2(C)C(C[C@@H](O)C3[C@@]4(C)CC[C@@H](O)[C@@H](C)C4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O/C(=N/C1CCCCC1)NC1CCCCC1";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 47.2 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513152";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4592713";"";"0";"291.38";"0";"2.21";"DDD01811176:01";"Cc1cccc(NC(C)c2ccc(S(N)(=O)=O)cc2)n1";"MIC";"'>'";"300000.0";"nM";"";"";"Median N= 2; Maxinhib 31.8 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513160";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL1642530";"";"0";"514.03";"2";"5.48";"MMV1782222";"CN1c2ccc(Cl)cc2N(c2ccccc2)C(=O)c2cn(Cc3ccc(CN4CCOCC4)cc3)nc21";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 26.6 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL1080267";"";"0";"522.65";"1";"2.69";"MMV1782220";"CC(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)[C@@H]2[C@H]3CC[C@H](C3)[C@@H]21";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 23.8 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL1642544";"";"0";"410.40";"1";"5.13";"MMV1782208";"CN1C(=O)C(c2ccccc2)C(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 26.6 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL184";"ACYCLOVIR";"4";"225.21";"0";"-0.92";"MMV001961";"Nc1nc(O)c2ncn(COCCO)c2n1";"MIC";"'>'";"20000.0";"nM";"";"";"Median N= 2; Maxinhib 30.9 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513161";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4524422";"";"0";"286.25";"0";"1.08";"DDD01812317:01";"NCCNS(=O)(=O)c1ccc(F)c(C(F)(F)F)c1";"MIC";"'>'";"300000.0";"nM";"";"";"Median N= 2; Maxinhib 9.1 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513160";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4536413";"";"0";"361.24";"0";"3.30";"MPG9";"CC1CC(=O)Nc2c1c(Br)nc1nc3c(c(N)c21)CCCC3";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 0.1 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513135";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL4554210";"";"0";"553.15";"2";"6.06";"ASS280Cl";"C#CCN(C)c1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)c(-c2ccccc2)c1C#N.Cl";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 25.6 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513135";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL277535";"BIFONAZOLE";"4";"310.40";"1";"5.19";"SAM001246775";"c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1";"MIC";"'>'";"10000.0";"nM";"";"";"Median N= 2; Maxinhib 21.4 Pct";"UO_0000065";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513141";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
"CHEMBL3219404";"";"0";"343.34";"0";"3.97";"WM36";"N#CC1=C(N)Oc2ccc3ccccc3c2C1c1ccc([N+](=O)[O-])cc1";"MIC";"'>'";"32.0";"ug.mL-1";"";"Non standard unit for type";"Median N= 2; Maxinhib 43.0 Pct";"UO_0000274";"";"";"";"";"False";"CHEMBL4296187";"Antibacterial activity against Pseudomonas aeruginosa ATCC 27853 (CO-ADD:GN_042); MIC in CAMBH media using NBS plates, by OD(600)";"F";"BAO_0000218";"organism-based format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr";"";"";"CHEMBL348";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa";"ORGANISM";"CHEMBL4513135";"40";"CO-ADD antimicrobial screening data";"";"";"None";""
